Timestamp,Action,API_Hits,Tokens_Generated,Time_Taken(seconds)
2025-04-14T16:17:12.855211,Gemini_API_Call,1,1803,12.28
2025-04-14T16:17:12.855211,resume_info,1,1803,12.28
2025-04-14T16:17:49.346392,Gemini_API_Call,1,912,7.78
2025-04-14T16:17:49.348763,percentage_match,1,912,7.78
2025-04-14T16:18:13.427581,Gemini_API_Call,1,4446,16.16
2025-04-14T16:18:13.433849,learning_path,1,4446,16.17
2025-04-14T16:18:48.768266,Gemini_API_Call,1,1894,17.77
2025-04-14T16:18:48.771635,updated_resume,1,1894,17.78
2025-04-14T16:25:44.641941,Gemini_API_Error,1,0,49.49
2025-04-14T16:25:44.653674,interview_qa,1,72,49.50
2025-04-14T16:27:12.715754,Gemini_API_Call,1,1987,13.37
2025-04-14T16:27:12.730354,skill_dev_plan,1,1987,13.37
2025-04-14T16:27:37.385079,Gemini_API_Call,1,1189,14.38
2025-04-14T16:27:37.387095,mock_interview,1,1189,14.38
2025-04-14T16:28:06.224249,tcs_prep_toggle,1,3,0.00
2025-04-14T16:28:27.317242,Gemini_API_Call,1,1699,8.99
2025-04-14T16:28:27.321293,tcs_main_prep,1,1699,8.99
2025-04-14T16:29:19.783895,infosys_prep_toggle,1,4,0.00
2025-04-14T16:29:30.401347,Gemini_API_Call,1,1235,8.32
2025-04-14T16:29:30.408732,infosys_main_prep,1,1235,8.33
2025-04-14T16:30:19.512253,wipro_prep_toggle,1,4,0.00
2025-04-14T16:30:27.207768,Gemini_API_Call,1,911,5.65
2025-04-14T16:30:27.211876,wipro_main_prep,1,911,5.67
2025-04-14T16:31:07.417237,Gemini_API_Call,1,6012,35.13
2025-04-14T16:31:07.431448,dsa_questions,1,6012,35.14
